word,pos.,meaning,unit
lady,n,女士，女子,Unit 1
gentleman,n,先生,Unit 1
high school,,高中,Unit 1
puppet,n,（牵线）木偶；,Unit 1
performer,n,表演者,Unit 1
finger,n,手指,Unit 1
teenager,n,青少年,Unit 1
take part in,,参加，参与,Unit 1
performance,n,表演；,Unit 1
unless,conj,除非,Unit 1
video,n,视频,Unit 1
amaze,v,使大为惊奇,Unit 1
post,v,发布,Unit 1
be flooded with,,大量收到,Unit 1
hold on,,坚持下去,Unit 1
blood,n,血，血液,Unit 1
interested,adj,感兴趣的,Unit 1
surprising,adj,令人,Unit 1
lost,adj,全神贯注的,Unit 1
viewer,n,观众,Unit 1
attention,n,注意,Unit 1
abroad,adv,在国外,Unit 1
teenage,adj,青少年的,Unit 1
folk arts,,民间艺术,Unit 1
programme,n,计划，方案,Unit 1
volunteer,n,志愿者，,Unit 1
group,n,组，群；团体,Unit 1
report,n,报道,Unit 1
fence,n,栅栏，围栏，篱芭,Unit 1
kill,v,弄死，杀死,Unit 1
scarecrow,n,稻草人,Unit 1
educator,n,教育家,Unit 1
country,n,国，国家,Unit 1
nation,n,国家,Unit 1
shoulder the responsibility,,承担责任,Unit 1
energy,n,力量，活力,Unit 1
youth,n,青年，年轻人,Unit 1
wealthy,adj,富有的，富裕的,Unit 1
excerpt,n,（书籍、诗歌、,Unit 1
tin,n,金属盒,Unit2
spare,adj,备用的；多余的，,Unit2
moneybox,n,储钱盒，,Unit2
better,adj,更好的，较好的,Unit2
make sense,,解释得通；有道理,Unit2
dreamland,n,梦境；,Unit2
manage,v,成功应付，,Unit2
key,n,关键,Unit2
deal,v,处理，应付，应对,Unit2
deal with,,处理，应付，应对,Unit2
laptop,n,笔记本电脑，,Unit2
budget,n,预算,Unit2
exactly,adv,正是，不错,Unit2
pleasure,n,愉快，快乐；,Unit2
end,n,最后部分，未尾,Unit2
end,v.,结束，停止,Unit2
save,v,储蓄，存（钱）,Unit2
account,n,账户,Unit2
expensive,adj,昂贵的，,Unit2
price,n,价格，价钱,Unit2
savings,n,积蓄；,Unit2
make ends meet,,使收支仅能相抵，,Unit2
date,n,日期，日子,Unit2
sale,n,出售，销售,Unit2
on sale,,出售,Unit2
website,n,网站,Unit2
worth,adj,值,Unit2
dollar,n,美元,Unit2
cent,n,分，美分,Unit2
penny,n,一分钱硬币,Unit2
couple,n,一对夫妇；,Unit2
flat,n,一套住房，一套公寓房，,Unit2
treasure,n,珍宝，珍品,Unit2
ChristmasEve,,圣诞前夕，平安夜,Unit2
certainly,adv,当然,Unit2
chain,n,链子，链条,Unit2
comb,n,梳子,Unit2
guest,n,（某一场合的）嘉宾，,Unit 3
northwest,n,西北，,Unit 3
such,deter,这样，如此，非常,Unit 3
giant,n,巨人,Unit 3
the fruit of,,的成果,Unit 3
centre,n,中心,Unit 3
period,n,时期,Unit 3
form,v,形成,Unit 3
valuable,adj,宝贵的，,Unit 3
smoothly,adv,顺利地,Unit 3
luck,n,好运，幸运,Unit 3
bring out,,使显现,Unit 3
cartoon,n,卡通（片）,Unit 3
silk,n,丝绸,Unit 3
matchbox,n,火柴盒,Unit 3
weight,n,（某物的）重量，,Unit 3
around,adv,大约,Unit 3
ton,n,英吨,Unit 3
mystery,n,神秘事物，谜,Unit 3
coast,n,海岸，海滨,Unit 3
pretty,adj,漂亮的，好看的，,Unit 3
hit,n,风行一时的事物,Unit 3
creativity,n,独创性，,Unit 3
come to life,,变得生动,Unit 3
technology,n,科技,Unit 3
noisy,adj,噜杂的,Unit 3
collection,n,（一批）,Unit 3
fever,n,狂热，亢奋,Unit 3
pride,n,自豪，骄傲,Unit 3
take pride in,,对感到自豪,Unit 3
design,n,装饰图案,Unit 3
bat,n,蝙蝠,Unit 3
scarf,n,围巾；披肩,Unit 3
fridge,n,冰箱，冰柜,Unit 3
fridge magnet,,冰箱磁贴,Unit 3
mirror,v,反映,Unit 3
great-aunt,n,舅婆；姑婆；,Unit4
fighter,n,斗士，奋斗者,Unit4
later,adv,之后,Unit4
footstep,n,足迹,Unit4
name.after,,以的名字,Unit4
realise,v,明白；认识到,Unit4
could,v,能，可以,Unit4
leave.behind,,离开，丢下,Unit4
gentle,adj,温和的，温柔的,Unit4
pity,n,可惜，遗憾,Unit4
war,n,战争,Unit4
battle,n,战斗，战役,Unit4
shock,n,令人震惊的事,Unit4
survivor,n,生还者，幸存者,Unit4
temperature,n,温度，,Unit4
front line,,前线,Unit4
lose,v,丧失，失去,Unit4
post,n,岗位,Unit4
presenter,n,主持人，主播,Unit4
recommend,v,推荐,Unit4
co-pilot,n,（飞机）,Unit4
engine,n,发动机，引擎,Unit4
state,v,陈述；说明,Unit4
dreamer,n,做梦的人,Unit4
pick,v,采，摘,Unit4
countless,adj,无数的，,Unit4
thing,n,东西，物,Unit4
experiment,n,实验,Unit4
scientificresearch,,科学研究,Unit4
type,n,类型，种类,Unit4
poor,adj,差的，不佳的,Unit4
soil,n,土壤，土地，泥土,Unit4
feed,v,养活,Unit4
pass away,,过世，离世,Unit4
socialist,adj,社会主义的,Unit4
human,adj,人的，人类的,Unit5
drop,v,降低,Unit5
tourist,n,游客,Unit5
benefitbenefiv.,,受益，得益,Unit5
wonder,n,奇迹，奇观,Unit5
once again,,再一次,Unit5
admire,v,欣赏，观赏,Unit5
throughout,prep,在整个,Unit5
mark,n,痕迹；标记,Unit5
rapid,adj,快速的，迅速的,Unit5
society,n,社会,Unit5
cancel,v,取消,Unit5
start over,,重新开始，从头来过,Unit5
get along with,,与相处融洽,Unit5
permit,v,允许,Unit5
affect,v,影响,Unit5
organisation,n,组织，,Unit5
harm,v,伤害,Unit5
punish,v,处罚，惩罚,Unit5
globalwarming,,全球变暖,Unit5
rubbish,n,垃圾,Unit5
overfish,v,过度捕捞,Unit5
gas,n,气，气体,Unit5
greenhouse gases,,温室气体,Unit5
square,adj,平方的,Unit5
logging,n,伐木,Unit5
solarpanel,,太阳能电池板,Unit5
microphone,n,麦克风，,Unit5
alarm,n,警报,Unit5
guard,n,警卫；门卫,Unit5
foreigner,n,外国人,Unit5
logo,n,标识，标志，徽标,Unit5
vulnerable,adj,易受伤的,Unit5
protection,n,保护,Unit5
farmland,n,农田，耕地,Unit5
consider,v,认为,Unit6
material,n,材料（如木材、,Unit6
shape,v,使成为某种形状，,Unit6
long-lasting,adj,耐用的,Unit6
cheap,adj,便宜的，廉价的,Unit6
toothbrush,n,牙刷,Unit6
glove,n,手套,Unit6
former,adj,以前的，从前的,Unit6
Wing,n,翅膀，翼,Unit6
stuck,adj,卡住的，无法,Unit6
bin,n,箱，柜；垃圾箱，垃圾桶,Unit6
mistake...for.,,把错当成,Unit6
average,n,平均数,Unit6
on average,,平均来看,Unit6
gram,n,克（公制基本,Unit6
tiny,adj,极（微）小的,Unit6
break down,,分解,Unit6
trouble,n,麻烦，问题,Unit6
wisely,adv,明智地,Unit6
highlight,v,突出，强调,Unit6
pollute,v,污染,Unit6
electronic,adj,电子的；,Unit6
truck,n,货车，卡车,Unit6
emission,n,排放物，散发物,Unit6
