English,Chinese
I was born into a family of Minnan puppet performers.,我出生在闽南的一个木偶戏表演世家。
My grandpa and my mum are both among the best.,我的外公和我的母亲都是这行中的佼佼者。
"To my surprise, the post was flooded with warm answers.",让我惊讶的是，这条帖子收到了许多热情的回复。
...the students were completely lost in the show.,学生们完全沉浸在表演中。
"Since then, my puppet shows have drawn more attention both from home and abroad.",从此，我的木偶表演在国内外都引起了更多的关注。
"Liang Qichao and ""The Young China""",梁启超与《少年中国说》
"In 'The Young China', he called on young people to shoulder the responsibility and take action to make China powerful.",在《少年中国说》中，他号召年轻人肩负起责任，采取行动，使中国变得强大。
"Although it would be a hard task, Liang believed that China's youth would make history.",虽然这将是一项艰巨的任务，但是梁启超相信中国青年会创造历史。
So beautiful is our young China. It will stand forever in the world!,美哉，我少年中国，与天不老！
A Dog Called Money,《小狗钱钱》
But wouldn't it be better to get more pocket money?,但是获得更多的零花钱不是更好吗？
"Because the more we get, the more we spend.",因为我们得到的越多，花的也就越多。
But Money went on.,但是Money继续说道。
"The key is not how much money we have, but how we use it.",关键不在于我们拥有多少钱，而在于我们如何使用它。
"First, we need to learn how to deal with our money.",首先，我们得学会如何处理自己的钱。
It's a short story by the American writer O. Henry.,这是美国作家O.Henry写的一篇短篇小说。
"The story is about Della and Jim, a young couple with little money.",这个故事是关于Della和Jim的，这对年轻夫妇没什么钱。
"Well, here comes the O. Henry surprise.",这就是O.Henry式结尾的出人意料之处了。
But O. Henry does not invite us to laugh at the couple.,但O.Henry无意让我们嘲笑这对夫妇。
"Instead, he writes at the end that 'they are the wisest'.","相反，他在结尾写道：""他们是最明智的。"""
Sanxingdui is the remains of the ancient Shu Kingdom. It lies in the northwest of Sichuan Province.,三星堆是古蜀国遗址，位于四川省广汉市西北部。
"As I continued their work, I often felt like I was standing on the shoulders of giants.",当我继续他们的工作时，我常常觉得自己站在巨人的肩膀上。
The surprising discoveries are the fruit of over 90 years of effort.,这些惊人的发现是九十多年努力的成果。
"In over 40 years, I have never felt bored with my work in this magical place.",在过去四十多年里，我在这个神奇的地方工作，从未感到过厌倦。
"Bit by bit, we will bring out more secrets of our history.",一点一点地，我们将揭开我们历史上的更多奥秘。
This 2021 hanfu show was a big hit on the internet.,这场2021年的汉服秀在网上非常火爆。
"In the past, Along the River During the Qingming Festival was just a painting with a history of over 900 years in a museum.",过去，《清明上河图》只是博物馆里一幅有着900多年历史的绘画作品。
"Over the years, the Palace Museum has made many creative products based on its collection.",多年来，故宫博物院基于其馆藏推出了许多创意产品。
People take pride in having them.,人们以拥有这些产品为荣。
History mirrors our past and carries our values.,历史映照着我们的过去，并承载着我们的价值观。
"As a little girl, I was often told, 'Your grandmother Zhao Yiman was a hero.'","我小时候经常听人说：""你的奶奶赵一曼是一位英雄。"""
"She died long before I was born. So, I never got to know her.",她在我出生之前很早就去世了，所以我从未有机会认识她。
"According to my great-aunt, she was a kind person who always put others first.",据我姨婆所说，她是一个善良的人，总是先为别人着想。
How could a woman who loved her young son leave him behind?,一个深爱幼子的女人，怎么会抛下他呢？
"Between the lines, I saw a gentle mother who chose to give her life for her country.",字里行间，我看到了一位温柔的母亲，她甘愿为祖国献出生命。
His name was Yuan Longping.,他的名字是袁隆平。
"After he left college in 1953, he spent nearly 70 years working hard to solve this problem.",1953年大学毕业后，袁隆平花了将近70年时间解决这个问题。
"Finally, he succeeded in developing new types of rice plants.",最终，他成功培育出了新型水稻。
"Yuan passed away in 2021, but his dreams live on.",袁隆平于2021年去世，但他的梦想长存。
His example continues to encourage people to follow in his footsteps.,他的事迹继续鼓舞着人们追随他的脚步。
When the earth stands still,当地球停滞不前
"Cars disappear from the roads, boats from the rivers, and planes from the sky.",汽车不再在道路上行驶，船只不再在水面上穿梭，飞机不再翱翔于蓝天。
Cleaner air and water allow them to show all their beauty once again.,更清洁的空气和水让它们重新绽放全部的美。
We need to think more about how to get along with nature.,我们需要更多地思考如何与自然和谐相处。
Perhaps we should remember the wise words which Montaigne once wrote — let nature take its course.,或许我们应该记住Montaigne写过的明智之言——让我们顺其自然吧。
"In 1961, the World Wildlife Fund (WWF) was looking for an animal to be its symbol.",1961年，世界自然基金会（WWF）在寻找一种动物作为它的标志。
"But in the year 2016, there came some fantastic news — the panda was moved from ""endangered"" to ""vulnerable"" on the IUCN Red List of Threatened Species.","但在2016年，传来了一个令人振奋的消息——在《世界自然保护联盟濒危物种红色名录》中，大熊猫从""濒危""降为""易危""。"
The Giant Panda National Park is three times as large as Yellowstone National Park in the United States.,大熊猫国家公园的面积是美国黄石国家公园的三倍大。
Research centres have also been set up and hundreds of pandas have been born there.,多家研究中心也已经建立起来，成功地繁育了数百只熊猫。
The panda is not the only animal that has benefited from these actions.,熊猫并不是唯一从这些行动中受益的动物。
"We can find it in bags, bottles, toothbrushes, gloves, mobiles, cars, houses — anything you can name.",我们可以在袋子、瓶子、牙刷、手套、手机、汽车、房屋——任何你能想到的东西里找到它。
"Despite all this, it has slowly and quietly shown its dark side.",尽管如此，它还是慢慢地、悄然地显露出了它黑暗的一面。
"Some animals, such as whales, eat it by mistake and die.",一些动物——比如鲸鱼——误食塑料而死亡。
"On average, we eat five grams of plastic a week. That's a whole bank card!",平均而言，我们每周摄入五克的塑料，这相当于一整张银行卡！
"On 'Planet Plastic', there is no place free from this.","在""塑料星球""上，没有任何地方能摆脱塑料。"
"It may take hundreds of years to break down. Therefore, hiding the waste doesn't solve the problem.",塑料废弃物可能需要数百年才能分解，所以掩埋并不能解决问题。
Hey! Come on out!,《喂！出来！》
The businessman started a hole-filling company.,这位商人开办了一家填洞公司。
Trucks full of industrial waste came from far and wide.,满载工业废料的卡车从四面八方来到这里。
"No matter what dirty things people threw into it, the hole took them all.",无论人们扔进去什么脏东西，这个洞都接收了它们。
"One day, a worker was on top of a building.",有一天，一个工人在一幢建筑物的顶部。
